agno|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|prom_lect8b_com|prom_mate8b_com|prom_soc8b_com|dif_lect8b_com|dif_mate8b_com|dif_soc8b_com|sigdif_lect8b_com|sigdif_mate8b_com|sigdif_soc8b_com|fecha_bbdd|codigo_bbdd
2019|8b|1|Región de Tarapacá|11|Iquique|1101|Iquique|11|Iquique|242|259|246|0|4|-19|0|0|-1|20200807|final20200807v1
2019|8b|1|Región de Tarapacá|11|Iquique|1107|Alto Hospicio|11|Iquique|234|251|241|-4|-1|-9|0|0|-1|20200807|final20200807v1
2019|8b|1|Región de Tarapacá|14|Tamarugal|1401|Pozo Almonte|14|Tamarugal|228|250|233|0|13|1|0|1|0|20200807|final20200807v1
2019|8b|1|Región de Tarapacá|14|Tamarugal|1402|Camiña|14|Tamarugal|221|219|224|-42|-42|-27|-1|-1|-1|20200807|final20200807v1
2019|8b|1|Región de Tarapacá|14|Tamarugal|1403|Colchane|14|Tamarugal|235|247|235|34|33|-7|1|1|0|20200807|final20200807v1
2019|8b|1|Región de Tarapacá|14|Tamarugal|1404|Huara|14|Tamarugal|206|217|231|-24|4|5|-1|0|0|20200807|final20200807v1
2019|8b|1|Región de Tarapacá|14|Tamarugal|1405|Pica|14|Tamarugal|222|241|229|-10|8|-10|0|0|0|20200807|final20200807v1
2019|8b|2|Región de Antofagasta|21|Antofagasta|2101|Antofagasta|21|Antofagasta|243|259|248|-3|4|-10|0|0|-1|20200807|final20200807v1
2019|8b|2|Región de Antofagasta|21|Antofagasta|2102|Mejillones|21|Antofagasta|213|243|228|-12|10|-13|-1|1|-1|20200807|final20200807v1
2019|8b|2|Región de Antofagasta|21|Antofagasta|2103|Sierra Gorda|21|Antofagasta|243|251|244|16|25|14|0|1|0|20200807|final20200807v1
2019|8b|2|Región de Antofagasta|21|Antofagasta|2104|Taltal|21|Antofagasta|213|229|220|-1|6|-19|0|0|-1|20200807|final20200807v1
2019|8b|2|Región de Antofagasta|22|El Loa|2201|Calama|22|El Loa|243|260|248|-3|4|-9|0|0|-1|20200807|final20200807v1
2019|8b|2|Región de Antofagasta|22|El Loa|2202|Ollagüe|22|El Loa|265|289|303|0|0|0|0|0|0|20200807|final20200807v1
2019|8b|2|Región de Antofagasta|22|El Loa|2203|San Pedro de Atacama|22|El Loa|214|260|226|-18|3|-31|-1|0|-1|20200807|final20200807v1
2019|8b|2|Región de Antofagasta|23|Tocopilla|2301|Tocopilla|21|Antofagasta|232|242|236|-1|8|-10|0|1|-1|20200807|final20200807v1
2019|8b|2|Región de Antofagasta|23|Tocopilla|2302|María Elena|21|Antofagasta|219|248|222|-19|-10|-22|-1|0|-1|20200807|final20200807v1
2019|8b|3|Región de Atacama|31|Copiapó|3101|Copiapó|31|Copiapo - Chanaral|233|250|244|-8|-1|-9|-1|0|-1|20200807|final20200807v1
2019|8b|3|Región de Atacama|31|Copiapó|3102|Caldera|31|Copiapo - Chanaral|234|246|236|-4|1|-8|0|0|0|20200807|final20200807v1
2019|8b|3|Región de Atacama|31|Copiapó|3103|Tierra Amarilla|31|Copiapo - Chanaral|219|218|227|9|10|6|0|0|0|20200807|final20200807v1
2019|8b|3|Región de Atacama|32|Chañaral|3201|Chañaral|31|Copiapo - Chanaral|226|235|232|-4|15|-11|0|1|-1|20200807|final20200807v1
2019|8b|3|Región de Atacama|32|Chañaral|3202|Diego de Almagro|31|Copiapo - Chanaral|231|244|245|-3|0|-9|0|0|0|20200807|final20200807v1
2019|8b|3|Región de Atacama|33|Huasco|3301|Vallenar|32|Huasco - Vallenar|241|257|247|-5|6|-9|0|0|-1|20200807|final20200807v1
2019|8b|3|Región de Atacama|33|Huasco|3302|Alto del Carmen|32|Huasco - Vallenar|231|230|234|-1|18|8|0|1|0|20200807|final20200807v1
2019|8b|3|Región de Atacama|33|Huasco|3303|Freirina|32|Huasco - Vallenar|225|223|228|0|10|-23|0|0|-1|20200807|final20200807v1
2019|8b|3|Región de Atacama|33|Huasco|3304|Huasco|32|Huasco - Vallenar|230|234|236|-8|3|3|0|0|0|20200807|final20200807v1
2019|8b|4|Región de Coquimbo|41|Elqui|4101|La Serena|41|Elqui|246|268|258|-6|0|-10|0|0|-1|20200807|final20200807v1
