"agno"|"grado"|"rbd"|"dvrbd"|"nom_rbd"|"cod_reg_rbd"|"nom_reg_rbd"|"cod_pro_rbd"|"nom_pro_rbd"|"cod_com_rbd"|"nom_com_rbd"|"cod_deprov_rbd"|"nom_deprov_rbd"|"cod_depe1"|"cod_depe2"|"cod_grupo"|"cod_rural_rbd"|"nalu_lect8b_rbd"|"nalu_mate8b_rbd"|"nalu_soc8b_rbd"|"prom_lect8b_rbd"|"prom_mate8b_rbd"|"prom_soc8b_rbd"|"dif_lect8b_rbd"|"dif_mate8b_rbd"|"dif_soc8b_rbd"|"difgru_lect8b_rbd"|"difgru_mate8b_rbd"|"difgru_soc8b_rbd"|"sigdif_lect8b_rbd"|"sigdif_mate8b_rbd"|"sigdif_soc8b_rbd"|"siggru_lect8b_rbd"|"siggru_mate8b_rbd"|"siggru_soc8b_rbd"|"marca_lect8b_rbd"|"marca_mate8b_rbd"|"marca_soc8b_rbd"|"marcadif_lect8b_rbd"|"marcadif_mate8b_rbd"|"marcadif_soc8b_rbd"|"noaplica"|"fecha_bbdd"|"codigo_bbdd"
2019|8b|5|1|JOVINA NARANJO FERNANDEZ|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|3|1|32|33|33|260|272|266|4|-3|-10|18|9|15|0|0|0|1|1|1|||||||0|20200807|final20200811v2
2019|8b|8|6|COLEGIO INTEGRADO EDUARDO FREI MONTALVA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|3|1|27|25|28|249|259|257|34|21|40|7|-4|6|1|1|1|0|0|0|||||||0|20200807|final20200811v2
2019|8b|9|4|ESCUELA REPUBLICA DE ISRAEL|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|3|1|116|118|124|249|275|250|8|24|-3|7|12|-1|0|1|0|1|1|0|||||||0|20200807|final20200811v2
2019|8b|10|8|ESCUELA REPUBLICA DE FRANCIA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|3|1|14|13|16|243|245|251|31|20|22|1|-18|0|1|0|1|0|-1|0|||||||0|20200807|final20200811v2
2019|8b|11|6|ESC. GRAL. PEDRO LAGOS MARCHANT|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|2|1|18|22|22|201|218|219|-11|-2|-79|-27|-27|-17|0|0|-1|-1|-1|-1|||||||0|20200807|final20200811v2
2019|8b|12|4|ESCUELA GRAL JOSE MIGUEL CARRERA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|2|1|26|24|26|265|287|273|12|53|17|37|42|37|0|1|0|1|1|1|||||||0|20200807|final20200811v2
2019|8b|13|2|ESCUELA MANUEL RODRIGUEZ ERDOYZA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|2|1|14|12|14|209|238|228|-11|7|-7|-19|-7|-8|0|0|0|-1|0|0|||||||0|20200807|final20200811v2
2019|8b|14|0|ESCUELA ROMULO J. PENA MATURANA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|2|1|28|28|29|221|234|221|9|0|-1|-7|-11|-15|0|0|0|0|-1|-1|||||||0|20200807|final20200811v2
2019|8b|15|9|LICEO ARTISTICO DR. JUAN NOE CREVANI|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|3|1|28|29|29|228|246|239|14|13|5|-14|-17|-12|0|0|0|-1|-1|-1|||||||0|20200807|final20200811v2
2019|8b|16|7|ESCUELA REGIMIENTO RANCAGUA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|3|1|22|22|22|234|251|237|12|15|1|-8|-12|-14|0|0|0|0|-1|-1|||||||0|20200807|final20200811v2
2019|8b|17|5|ESCUELA SUBTTE. LUIS CRUZ MARTINEZ|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|2|1|21|23|23|238|247|231|-13|-1|-15|10|2|-5|0|0|0|1|0|0|||||||0|20200807|final20200811v2
2019|8b|18|3|ESC. COMTE. JUAN JOSE SAN MARTIN|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|2|1|31|35|35|212|227|231|-18|5|15|-16|-18|-5|-1|0|0|-1|-1|0|||||||0|20200807|final20200811v2
2019|8b|19|1|ESC. HUMBERTO VALENZUELA GARCIA|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|2|1|20|21|21|240|238|236|7|7|-22|12|-7|0|0|0|-1|1|0|0|||||||0|20200807|final20200811v2
2019|8b|20|5|ESCUELA TUCAPEL|15|DE ARICA Y PARINACOTA|151|ARICA|15101|ARICA|151|Arica|2|1|3|1|44|44|44|229|229|236|8|-7|-15|-13|-34|-15|0|0|0|-1|-1|-1|||||||0|20200807|final20200811v2
