AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;EE_GRATUITO;N_PRIO;N_PRIO_BEN;N_PREF;N_PREF_BEN;N_BEN
2019;1;9;LICEO POLITECNICO ARICA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2013;RECUPERACION;1;382;280;88;59;339
2019;2;7;PARVULARIO LAS ESPIGUITAS;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;58;58;75;75;133
2019;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;15;151;15101;ARICA;151;ARICA;2;1;1;1;0; ; ;1;48;0;0;0;0
2019;4;3;LICEO OCTAVIO PALMA PEREZ;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2013;EMERGENTE;1;534;534;313;313;847
2019;5;1;JOVINA NARANJO FERNANDEZ;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;454;396;330;303;699
2019;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2013;EMERGENTE;1;809;809;222;222;1031
2019;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;362;362;149;149;511
2019;9;4;ESCUELA REPUBLICA DE ISRAEL;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;648;648;500;500;1148
2019;10;8;ESCUELA REPUBLICA DE FRANCIA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;121;121;33;33;154
2019;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;295;295;45;45;340
2019;12;4;ESCUELA GRAL JOSE MIGUEL CARRERA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;AUTONOMA;1;187;187;70;70;257
2019;13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;195;195;52;52;247
2019;14;0;ESCUELA ROMULO J. PENA MATURANA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;164;164;41;41;205
2019;15;9;LICEO ARTISTICO DR. JUAN NOE CREVANI;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;206;206;136;136;342
2019;16;7;ESCUELA REGIMIENTO RANCAGUA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;167;167;46;46;213
2019;17;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;254;254;63;63;317
2019;18;3;ESC. COMTE. JUAN JOSE SAN MARTIN;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;254;254;53;53;307
2019;19;1;ESC. HUMBERTO VALENZUELA GARCIA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;224;224;45;45;269
2019;20;5;ESCUELA TUCAPEL;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;335;335;70;70;405
2019;22;1;ESCUELA GABRIELA MISTRAL;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;636;636;221;221;857
2019;25;6;COLEGIO CENTENARIO DE ARICA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;RECUPERACION;1;494;494;132;132;626
2019;26;4;ESCUELA REPUBLICA DE ARGENTINA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;147;147;53;53;200
2019;27;2;ESCUELA ESMERALDA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;172;172;55;55;227
2019;28;0;ESCUELA RICARDO SILVA ARRIAGADA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;AUTONOMA;1;415;248;136;91;339
2019;29;9;ESCUELA AMERICA;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;354;354;63;63;417
2019;30;2;ESCUELA DR. RICARDO OLEA GUERRA;15;151;15101;ARICA;151;ARICA;2;1;0;1;0; ; ;1;103;0;26;0;0
2019;31;0;ESCUELA DARIO SALAS DIAZ;15;151;15101;ARICA;151;ARICA;2;1;1;1;1;2008;AUTONOMA;1;314;314;26;26;340
2019;32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;151;15101;ARICA;151;ARICA;2;1;1;1;1;2008;EMERGENTE;1;530;530;94;94;624
2019;33;7;ESCUELA CARLOS CONDELL DE LA HAZA;15;151;15101;ARICA;151;ARICA;2;1;1;1;1;2008;AUTONOMA;1;146;146;32;32;178
2019;35;3;ESCUELA GRAL. MANUEL BAQUEDANO;15;151;15101;ARICA;151;ARICA;2;1;1;1;1;2008;EMERGENTE;1;58;58;19;19;77
2019;36;1;ESCUELA IGNACIO CARRERA PINTO;15;151;15101;ARICA;151;ARICA;2;1;0;1;1;2008;EMERGENTE;1;216;216;25;25;241
2019;38;8;ESCUELA ESPAÑA;15;151;15101;ARICA;151;ARICA;2;1;1;1;1;2008;AUTONOMA;1;455;455;36;36;491
2019;39;6;ESCUELA PAMPA ALGODONAL;15;151;15101;ARICA;151;ARICA;2;1;1;1;1;2008;RECUPERACION;1;22;22;4;4;26
2019;41;8;ESCUELA VALLE DE CHACA;15;151;15101;ARICA;151;ARICA;2;1;1;1;1;2008;EMERGENTE;1;24;24;1;1;25
2019;42;6;ESCUELA MOLINOS LLUTA;15;151;15101;ARICA;151;ARICA;2;1;1;1;1;2008;EMERGENTE;1;8;8;4;4;12
2019;43;4;JARDIN INFANTIL CEPILLIN;15;151;15101;ARICA;151;ARICA;3;2;0;1;1;2013;EMERGENTE;1;9;9;5;5;14
