AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_HOM_5;MAT_MUJ_5;MAT_ENS_5;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT
2019;1;9;LICEO POLITECNICO ARICA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;232;146;378;143;145;288;375;291;0;666;0;0;0;0;0;0;18;16;34;0;0;0
2019;2;7;PARVULARIO LAS ESPIGUITAS;2;1;0;15;151;15101;ARICA;151;ARICA;1;106;105;211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;105;0;211;8;0;0;0;0;0;0;0;8;0;0;0
2019;3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES;2;1;1;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;329;78;407;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;334;78;0;412;0;0;41;0;0;2;0;0;43;0;0;0
2019;4;3;LICEO OCTAVIO PALMA PEREZ;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;450;527;977;0;0;0;0;0;0;0;0;0;450;527;0;977;0;0;0;0;27;0;0;0;27;0;0;0
2019;5;1;JOVINA NARANJO FERNANDEZ;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;155;115;270;0;0;0;0;0;0;271;279;550;97;75;172;0;0;0;0;0;0;523;469;0;992;0;8;0;0;16;5;0;0;29;0;0;0
2019;7;8;L. POLI. ANTONIO VARAS DE LA BARRA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;673;446;1119;0;0;0;673;446;0;1119;0;0;0;0;0;0;40;0;40;0;0;0
2019;8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA;2;1;0;15;151;15101;ARICA;151;ARICA;1;33;22;55;0;152;125;277;0;0;0;0;0;0;172;145;317;0;0;0;0;0;0;0;0;0;357;292;0;649;2;8;0;0;12;0;0;0;22;0;0;0
2019;9;4;ESCUELA REPUBLICA DE ISRAEL;2;1;0;15;151;15101;ARICA;151;ARICA;1;100;99;199;0;682;609;1291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;782;708;0;1490;7;35;0;0;0;0;0;0;42;0;0;0
2019;10;8;ESCUELA REPUBLICA DE FRANCIA;2;1;0;15;151;15101;ARICA;151;ARICA;1;0;31;31;0;0;150;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;0;181;0;8;0;0;0;0;0;0;8;1;0;1
2019;11;6;ESC. GRAL. PEDRO LAGOS MARCHANT;2;1;0;15;151;15101;ARICA;151;ARICA;1;24;28;52;0;181;132;313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;160;0;365;2;12;0;0;0;0;0;0;14;0;0;0
